GeneID	ExpectedReadCount	TPM
Gene00624	0	0
Gene00625	114	4.63
Gene00626	5	2.4
Gene00627	226	15.74
Gene00628	201	19.25
Gene00629	1153	205.97
Gene00630	0	0
Gene00631	76	8.73
Gene00632	76	61.21
Gene00633	102	59.24
Gene00634	27	8.43
Gene00635	61	25.99
Gene00636	0	0
Gene00637	90	3.2
Gene00638	238	8.11
Gene00639	100	28.76
Gene00640	0	0
Gene00641	7	0.38
Gene00642	61	8.3
Gene00643	48	6.48
Gene00644	30	3.17
Gene00645	1	0.19
Gene00646	39	6.16
Gene00647	511	137.46
Gene00648	4	0.88
Gene00649	183	29.38
Gene00650	1185	27.63
Gene00651	387	12.79
Gene00652	0	0
Gene00653	119.96	3.67
Gene00654	23	0.72
Gene00655	673	73.61
Gene00656	13.44	0.78
Gene00657	47.19	1.46
Gene00658	0.37	0.03
Gene00659	0	0
Gene00660	14	6.92
Gene00661	39	3.01
Gene00662	13	5.01
Gene00663	3	2.01
Gene00664	38	35.89
Gene00665	161	20.62
Gene00666	109	17.8
Gene00667	23	5.28
Gene00668	660.56	47.63
Gene00669	93	8.06
Gene00670	0	0
Gene00671	532.63	37.55
Gene00672	137	21.45
Gene00673	146	35.04
Gene00674	0	0
Gene00675	355	23.06
Gene00676	12	1.76
Gene00677	47	9.17
Gene00678	118	10.49
Gene00679	0	0
Gene00680	0	0
Gene00681	17	14.35
Gene00682	1	0.23
Gene00683	114	12.79
Gene00684	45	33.14
Gene00685	68	5.21
Gene00686	0	0
Gene00687	272	17.45
Gene00688	179.28	20.03
Gene00689	1540	25.6
Gene00690	455	41.02
Gene00691	1	0.09
Gene00692	560	76.54
Gene00693	0	0
Gene00694	0	0
Gene00695	97	12.86
Gene00696	0	0
Gene00697	47	11.52
Gene00698	731	107.38
Gene00699	0	0
Gene00700	0	0
Gene00701	58	4.82
Gene00702	219	14.51
Gene00703	1	0.34
Gene00704	22	38.59
Gene00705	0	0
Gene00706	479	22.66
Gene00707	10	1.1
Gene00708	138	12.28
Gene00709	46	2.82
Gene00710	6561.7	227.14
Gene00711	96	9.53
Gene00712	153	24.09
Gene00713	1393	201.51
Gene00714	23	28.03
Gene00715	2	45.14
Gene00716	1661	122.88
Gene00717	0	0
Gene00718	35	3.49
Gene00719	0	0
Gene00720	7	1.63
Gene00721	131	15.65
Gene00722	41	26.67
Gene00723	0	0
Gene00724	54	7.95
Gene00725	93	23.19
Gene00726	15.76	2.06
Gene00727	2.68	1.21
Gene00728	0	0
Gene00729	1057	77.39
Gene00730	0	0
Gene00731	812.1	37.76
Gene00732	123	7.93
Gene00733	15.27	3.6
Gene00734	485	29.8
Gene00735	265	7.92
Gene00736	3	0.4
Gene00737	327	37.88
Gene00738	75	9.5
Gene00739	34	8.7
Gene00740	137	22.18
Gene00741	25	107.79
Gene00742	0	0
Gene00743	0	0
Gene00744	145	15.33
Gene00745	0	0
Gene00746	810	24.02
Gene00747	3872	104.54
Gene00748	1208	1472.04
Gene00749	0	0
Gene00750	75	7.29
Gene00751	185	14.18
Gene00752	71	9.3
Gene00753	43.02	3.42
Gene00754	237	7.49
Gene00755	163	56.26
Gene00756	135	11.78
Gene00757	534	19.59
Gene00758	23	1.59
Gene00759	161	68.6
Gene00760	0	0
Gene00761	5.55	7.44
Gene00762	13.45	5.35
Gene00763	8	1.14
Gene00764	0	0
Gene00765	0	0
Gene00766	0	0
Gene00767	0	0
Gene00768	268.29	14.92
Gene00769	4	0.22
Gene00770	1	0.07
Gene00771	317	33.45
Gene00772	0	0
Gene00773	134	23.5
Gene00774	0	0
Gene00775	0	0
Gene00776	0	0
Gene00777	0	0
Gene00778	914	36.35
Gene00779	154	10.53
Gene00780	528	51.96
Gene00781	37	16.95
Gene00782	337	12.29
Gene00783	597	47.9
Gene00784	7	9.54
Gene00785	20	3.69
Gene00786	20	14.89
Gene00787	502	39.78
Gene00788	163	20.6
Gene00789	289	25.97
Gene00790	14	3.21
Gene00791	0	0
Gene00792	519	33.37
Gene00793	0	0
Gene00794	52	16.41
Gene00795	55	23.94
Gene00796	0	0
Gene00797	64	14.23
Gene00798	77	1.7
Gene00799	0	0
Gene00800	4988	454.71
Gene00801	3	0.51
Gene00802	1360	100.75
Gene00803	469	113.02
Gene00804	244	16.59
Gene00805	198	17.96
Gene00806	1	0.08
Gene00807	16	3.36
Gene00808	780	30.51
Gene00809	0	0
Gene00810	70	6.38
Gene00811	64	9.14
Gene00812	599	249.96
Gene00813	0	0
Gene00814	0	0
Gene00815	0	0
Gene00816	9	2.83
Gene00817	0	0
Gene00818	27	1.3
Gene00819	2	0.4
Gene00820	18	2.83
Gene00821	13	0.55
Gene00822	69.85	10.18
Gene00823	4.15	2.05
Gene00824	10.24	0.64
Gene00825	7.51	0.65
Gene00826	54	13.94
Gene00827	283	68.48
Gene00828	1	0.06
Gene00829	51	12.04
Gene00830	0	0
Gene00831	182	17.67
Gene00832	3	1.81
Gene00833	31	16.23
Gene00834	1	0.31
Gene00835	1	0.77
Gene00836	490	42.62
Gene00837	7	0.66
Gene00838	13	1.46
Gene00839	1	40.67
Gene00840	2463	81.64
Gene00841	5	0.63
Gene00842	1610	31.25
Gene00843	0	0
Gene00844	0	0
Gene00845	57	9.73
Gene00846	93	11.47
Gene00847	123	10.1
Gene00848	355	12.12
Gene00849	0	0
Gene00850	0	0
Gene00851	128	20.1
Gene00852	40	2.28
Gene00853	1426.2	289.09
Gene00854	2404.8	528.56
Gene00855	5122.94	289.47
Gene00856	881.06	96.92
Gene00857	70	17.6
Gene00858	3	6.77
Gene00859	5	16.93
Gene00860	4	5.64
Gene00861	246	16.66
Gene00862	0	0
Gene00863	422	27.98
Gene00864	253	22.74
Gene00865	260	24.65
Gene00866	1035.25	109.04
Gene00867	0	0
Gene00868	0	0
Gene00869	36	6.53
Gene00870	111	15.47
Gene00871	126	12.13
Gene00872	179	11.47
Gene00873	152	30.38
Gene00874	0	0
Gene00875	0	0
Gene00876	11	2.35
Gene00877	114	32
Gene00878	252	35.91
Gene00879	69	3.94
Gene00880	0	0
