GeneID	ExpectedReadCount	TPM
Gene00471	0	0
Gene00472	3.04	0.68
Gene00473	70	13.35
Gene00474	0	0
Gene00475	19	17.22
Gene00476	322	62.85
Gene00477	97	27.54
Gene00478	29	1.43
Gene00479	0	0
Gene00480	413	15.33
Gene00481	0	0
Gene00482	53	3.67
Gene00483	120	33.1
Gene00484	57	11.96
Gene00485	16	5.2
Gene00486	80	15.8
Gene00487	0	0
Gene00488	2	0.73
Gene00489	0	0
Gene00490	13	1.39
Gene00491	434	72.69
Gene00492	109	11.81
Gene00493	45	3.81
Gene00494	0	0
Gene00495	10.1	6.1
Gene00496	2131.03	33.43
Gene00497	331.28	34.08
Gene00498	9	1.31
Gene00499	37	15.94
Gene00500	8	2.98
Gene00501	49	4.79
Gene00502	0	0
Gene00503	43	10.49
Gene00504	314	23.06
Gene00505	0	0
Gene00506	0	0
Gene00507	151	9.62
Gene00508	0	0
Gene00509	0	0
Gene00510	87	15.5
Gene00511	0	0
Gene00512	7	0.64
Gene00513	441	49.71
Gene00514	0	0
Gene00515	63	11.5
Gene00516	4	1.32
Gene00517	8	1.59
Gene00518	2	1.77
Gene00519	93	13.46
Gene00520	0	0
Gene00521	4	0.94
Gene00522	0	0
Gene00523	1	0.11
Gene00524	40	4.25
Gene00525	196	37.6
Gene00526	354	10.36
Gene00527	197.17	10.49
Gene00528	105.83	7.58
Gene00529	572	18.13
Gene00530	59	16.08
Gene00531	6.8	1.01
Gene00532	267.2	6.22
Gene00533	1	3.07
Gene00534	0	0
Gene00535	100	4.99
Gene00536	0	0
Gene00537	347	13.6
Gene00538	674	29.51
Gene00539	385	77.85
Gene00540	333	15.43
Gene00541	1	7.53
Gene00542	0	0
Gene00543	0	0
Gene00544	0	0
Gene00545	0	0
Gene00546	222	22.23
Gene00547	0	0
Gene00548	34	1.09
Gene00549	81	28.77
Gene00550	55	20.94
Gene00551	174	9.85
Gene00552	280	49.88
Gene00553	355	51.72
Gene00554	7.57	2.1
Gene00555	11.43	1.47
Gene00556	0	0
Gene00557	182	19.38
Gene00558	34	2.69
Gene00559	916	45.23
Gene00560	1041	315.39
Gene00561	0	0
Gene00562	0	0
Gene00563	0	0
Gene00564	27	11.63
Gene00565	0	0
Gene00566	109	77.45
Gene00567	18	2.93
Gene00568	605	52.79
Gene00569	249	42.77
Gene00570	449	27.16
Gene00571	323.98	45.24
Gene00572	123	19.44
Gene00573	10	69.4
Gene00574	180.38	62.44
Gene00575	85	22.98
Gene00576	143	24.69
Gene00577	489	39.21
Gene00578	0	0
Gene00579	3	1.42
Gene00580	46	10.16
Gene00581	2643.56	86.75
Gene00582	222	11.74
Gene00583	0	0
Gene00584	0	0
Gene00585	460	31.16
Gene00586	0	0
Gene00587	0	0
Gene00588	1106	79.48
Gene00589	390	42.19
Gene00590	17	4.99
Gene00591	0	0
Gene00592	41	2.53
Gene00593	428	38.09
Gene00594	147	38.36
Gene00595	17	1.38
Gene00596	55.12	4.25
Gene00597	128.88	7.47
Gene00598	118	7.88
Gene00599	543	23.9
Gene00600	1059	41.86
Gene00601	11	3.44
Gene00602	2	17.11
Gene00603	10	0.58
Gene00604	3	3.33
Gene00605	409	78.24
Gene00606	3	0.14
Gene00607	13	2.04
Gene00608	363	19
Gene00609	0	0
Gene00610	7.31	2.34
Gene00611	0	0
Gene00612	206	18.48
Gene00613	133	4.01
Gene00614	0	0
Gene00615	19	1.04
Gene00616	3	0.13
Gene00617	19	19.98
Gene00618	521	38.94
Gene00619	0	0
Gene00620	9	1.76
Gene00621	62	28.29
Gene00622	57	14.54
Gene00623	0	0
Gene00624	0	0
Gene00625	109	5.22
Gene00626	1	0.57
Gene00627	100	8.2
Gene00628	184	20.74
Gene00629	831	174.33
Gene00630	0	0
Gene00631	44	5.95
Gene00632	48	46.76
Gene00633	75	51.79
Gene00634	22	8.06
Gene00635	75	37.65
Gene00636	0	0
Gene00637	67	2.81
Gene00638	180	7.23
Gene00639	108	36.46
Gene00640	0	0
Gene00641	3	0.19
Gene00642	65	10.39
Gene00643	54	8.57
Gene00644	20	2.49
Gene00645	0	0
Gene00646	36	6.68
Gene00647	411	129.73
Gene00648	0	0
Gene00649	141	26.59
Gene00650	849	23.36
Gene00651	287	11.19
Gene00652	0	0
Gene00653	127.15	4.59
Gene00654	10	0.37
Gene00655	527	67.82
Gene00656	15.23	1.04
Gene00657	36.77	1.34
Gene00658	19	2.1
Gene00659	1.11	0.14
Gene00660	17	9.94
Gene00661	36	3.27
Gene00662	6	2.72
Gene00663	0	0
Gene00664	23	26.59
Gene00665	130	19.58
Gene00666	80	15.35
Gene00667	14	3.77
Gene00668	510	43.32
Gene00669	108	11.03
Gene00670	0	0
Gene00671	349.14	29
Gene00672	124	22.81
Gene00673	192	54.06
Gene00674	0	0
Gene00675	292	22.35
Gene00676	5	0.86
Gene00677	69	15.8
Gene00678	75	7.85
Gene00679	0	0
Gene00680	0	0
Gene00681	7	7.17
Gene00682	0	0
Gene00683	96	12.67
Gene00684	22	19.49
Gene00685	56	5.05
Gene00686	0	0
Gene00687	201	15.19
Gene00688	120.84	15.88
Gene00689	1231	24.15
Gene00690	340	36.09
Gene00691	0	0
Gene00692	450	72.3
Gene00693	3	0.89
Gene00694	0	0
Gene00695	57	8.88
Gene00696	1	0.13
Gene00697	38	10.93
Gene00698	683	117.91
Gene00699	0	0
Gene00700	0	0
Gene00701	42.08	4.12
Gene00702	151	11.78
Gene00703	0	0
Gene00704	9	20.69
Gene00705	0	0
Gene00706	334	18.63
Gene00707	5	0.65
Gene00708	94	9.85
Gene00709	60	4.34
Gene00710	6285.26	256.61
Gene00711	105	12.27
Gene00712	118	21.83
Gene00713	1177	200.12
Gene00714	22	33.59
