GeneID	ExpectedReadCount	TPM
Gene00704	18	29.01
Gene00705	0	0
Gene00706	464	19.69
Gene00707	7	0.69
Gene00708	112	8.9
Gene00709	34	1.87
Gene00710	5504.38	171.2
Gene00711	124	10.97
Gene00712	121	16.86
Gene00713	963	123.48
Gene00714	36	39.1
Gene00715	0	0
Gene00716	1526	100.94
Gene00717	0	0
Gene00718	5	0.44
Gene00719	0	0
Gene00720	9	1.84
Gene00721	121	12.85
Gene00722	45	25.45
Gene00723	1	0.14
Gene00724	34	4.44
Gene00725	108	23.61
Gene00726	13.77	1.6
Gene00727	3.49	1.37
Gene00728	0	0
Gene00729	827	54.15
Gene00730	0	0
Gene00731	1053.44	43.94
Gene00732	82	4.74
Gene00733	18.3	3.79
Gene00734	588	32.35
Gene00735	286	7.69
Gene00736	1	0.12
Gene00737	399	41.11
Gene00738	89	10.01
Gene00739	42	9.42
Gene00740	184	26.35
Gene00741	32	143.9
Gene00742	0	0
Gene00743	0	0
Gene00744	121	11.39
Gene00745	0	0
Gene00746	936	24.96
Gene00747	3281	79.67
Gene00748	955	1037.21
Gene00749	0	0
Gene00750	72	6.24
Gene00751	169	11.58
Gene00752	87	10.12
Gene00753	49	3.48
Gene00754	191	5.42
Gene00755	140	42.1
Gene00756	126	9.81
Gene00757	554.47	18.27
Gene00758	28	1.73
Gene00759	148	54.79
Gene00760	0	0
Gene00761	8	9.63
Gene00762	9	3.12
Gene00763	10	1.26
Gene00764	0	0
Gene00765	0	0
Gene00766	0	0
Gene00767	0	0
Gene00768	207.93	10.36
Gene00769	6	0.3
Gene00770	4	0.25
Gene00771	293	27.54
Gene00772	0	0
Gene00773	181	28.03
Gene00774	0	0
Gene00775	0	0
Gene00776	0	0
Gene00777	0	0
Gene00778	1102	39.35
Gene00779	122	7.46
Gene00780	574	50.35
Gene00781	45	17.9
Gene00782	311	10.18
Gene00783	575	41.22
Gene00784	5	6.12
Gene00785	33	5.37
Gene00786	27	17.52
Gene00787	519	36.74
Gene00788	135	15.15
Gene00789	270	21.65
Gene00790	15	3.02
Gene00791	0	0
Gene00792	426	24.52
Gene00793	0	0
Gene00794	74	20.38
Gene00795	60	22.68
Gene00796	0	0
Gene00797	64	12.51
Gene00798	67	1.33
Gene00799	0	0
Gene00800	4451	362.01
Gene00801	6	0.89
Gene00802	1447	95.84
Gene00803	487	102.98
Gene00804	217	13.2
Gene00805	194	15.7
Gene00806	9	0.61
Gene00807	23	4.25
Gene00808	78	2.74
Gene00809	0	0
Gene00810	120	9.76
Gene00811	45	5.7
Gene00812	619	224.49
Gene00813	0	0
Gene00814	1	0.04
Gene00815	0	0
Gene00816	4	1.1
Gene00817	0	0
Gene00818	5	0.22
Gene00819	3	0.53
Gene00820	17	2.37
Gene00821	7	0.27
Gene00822	68.53	8.85
Gene00823	7.47	3.21
Gene00824	4.48	0.25
Gene00825	6	0.46
Gene00826	68	15.39
Gene00827	309	65.61
Gene00828	2	0.11
Gene00829	68	14.09
Gene00830	0	0
Gene00831	195	16.87
Gene00832	4	2.09
Gene00833	31	14.09
Gene00834	5	1.34
Gene00835	1	0.67
Gene00836	494	38.36
Gene00837	3	0.25
Gene00838	15	1.5
Gene00839	0	0
Gene00840	2160	64.34
Gene00841	13	1.46
Gene00842	1812	31.66
Gene00843	0	0
Gene00844	0	0
Gene00845	41	6.18
Gene00846	76	8.33
Gene00847	145	10.63
Gene00848	368	11.29
Gene00849	0	0
Gene00850	0	0
Gene00851	140	19.46
Gene00852	37	1.89
Gene00853	1027.12	183.36
Gene00854	1697.88	328.11
Gene00855	4110.39	208.11
Gene00856	743.61	72.81
Gene00857	65	14.33
Gene00858	4	8.54
Gene00859	10	33.91
Gene00860	9	11.43
