GeneID	ExpectedReadCount	TPM
Gene00481	0	0
Gene00482	47	3.8
Gene00483	111	35.82
Gene00484	38	9.32
Gene00485	13	4.94
Gene00486	65	15.01
Gene00487	1	0.14
Gene00488	0	0
Gene00489	0	0
Gene00490	15	1.87
Gene00491	314	61.49
Gene00492	92	11.65
Gene00493	42	4.16
Gene00494	0	0
Gene00495	7.06	4.99
Gene00496	2479.66	45.42
Gene00497	288.53	34.69
Gene00498	9	1.53
Gene00499	39	19.65
Gene00500	8	3.49
Gene00501	52	5.94
Gene00502	0	0
Gene00503	41	11.7
Gene00504	359	30.8
Gene00505	0	0
Gene00506	0	0
Gene00507	136	10.12
Gene00508	0	0
Gene00509	0	0
Gene00510	62	12.92
Gene00511	0	0
Gene00512	5	0.53
Gene00513	440	57.97
Gene00514	0	0
Gene00515	50	10.67
Gene00516	6	2.32
Gene00517	4	0.93
Gene00518	0	0
Gene00519	69	11.68
Gene00520	0	0
Gene00521	6	1.65
Gene00522	0	0
Gene00523	1	0.13
Gene00524	35	4.35
Gene00525	247	55.42
Gene00526	462	15.79
Gene00527	200.07	12.43
Gene00528	101.93	8.53
Gene00529	500	18.51
Gene00530	47	14.99
Gene00531	24.28	4.21
Gene00532	245.72	6.69
Gene00533	0	0
Gene00534	0	0
Gene00535	109	6.36
Gene00536	0	0
Gene00537	270	12.36
Gene00538	453	23.17
Gene00539	325	76.87
Gene00540	346	18.73
Gene00541	3	24.31
Gene00542	0	0
Gene00543	1	0.06
Gene00544	0	0
Gene00545	0	0
Gene00546	191	22.35
Gene00547	0	0
Gene00548	15	0.56
Gene00549	63	26.18
Gene00550	42	18.71
Gene00551	146	9.66
Gene00552	206	42.91
Gene00553	365	62.18
Gene00554	1.1	0.36
Gene00555	1.9	0.29
Gene00556	0	0
Gene00557	119.42	14.86
Gene00558	19	1.76
Gene00559	795	45.85
Gene00560	671	237.88
Gene00561	0	0
Gene00562	0	0
Gene00563	0	0
Gene00564	10	5.04
Gene00565	0	0
Gene00566	89	73.79
Gene00567	6	1.14
Gene00568	459	46.8
Gene00569	174	34.95
Gene00570	387	27.35
Gene00571	303.65	49.57
Gene00572	73	13.49
Gene00573	16	120.25
Gene00574	130.91	53.02
Gene00575	78	24.67
Gene00576	115	23.22
Gene00577	358	33.54
Gene00578	0	0
Gene00579	3	1.67
Gene00580	41	10.59
Gene00581	2299.78	88.14
Gene00582	197	12.17
Gene00583	1	0.18
Gene00584	0	0
Gene00585	357	28.25
Gene00586	0	0
Gene00587	0	0
Gene00588	988	82.96
Gene00589	335	42.36
Gene00590	17	5.84
Gene00591	0	0
Gene00592	30	2.16
Gene00593	295	30.68
Gene00594	80	24.42
Gene00595	15	1.42
Gene00596	47.67	4.3
Gene00597	89.33	6.05
Gene00598	76	5.93
Gene00599	581	29.87
Gene00600	1121	51.76
Gene00601	14	5.12
Gene00602	1	9.11
Gene00603	12	0.82
Gene00604	6	7.72
Gene00605	405	90.61
Gene00606	3	0.17
Gene00607	16	2.94
Gene00608	195	11.92
Gene00609	0	0
Gene00610	5.63	2.11
Gene00611	0	0
Gene00612	145	15.2
Gene00613	90	3.17
Gene00614	0	0
Gene00615	15	0.96
Gene00616	4	0.21
Gene00617	12	14.66
Gene00618	675	58.95
