GeneID	ExpectedReadCount	TPM
Gene00634	20	5.98
Gene00635	66	26.89
Gene00636	0	0
Gene00637	73	2.54
Gene00638	186	6.2
Gene00639	124	34.2
Gene00640	0	0
Gene00641	3	0.16
Gene00642	79	10.41
Gene00643	36	4.71
Gene00644	23	2.36
Gene00645	0	0
Gene00646	30	4.58
Gene00647	486	125.46
Gene00648	2	0.42
Gene00649	178	27.63
Gene00650	888	20.28
Gene00651	369	11.93
Gene00652	0	0
Gene00653	38.37	1.15
Gene00654	24	0.73
Gene00655	582	61.84
Gene00656	13.44	0.76
Gene00657	26.55	0.8
Gene00658	0	0
Gene00659	0	0
Gene00660	15	7.1
Gene00661	49	3.69
Gene00662	10	3.68
Gene00663	1	0.64
Gene00664	44	40.59
Gene00665	197	24.47
Gene00666	155	24.47
Gene00667	22	4.86
Gene00668	581	40.84
Gene00669	92	7.77
Gene00670	0	0
Gene00671	483.57	33.24
Gene00672	182	27.57
Gene00673	108	24.91
Gene00674	0	0
Gene00675	285	18.06
Gene00676	8	1.13
Gene00677	45	8.47
Gene00678	93	8.05
Gene00679	0	0
Gene00680	0	0
Gene00681	6	4.92
Gene00682	0	0
Gene00683	131	14.27
Gene00684	39	27.71
Gene00685	81	6.04
Gene00686	0	0
Gene00687	316	19.78
Gene00688	145.47	15.79
Gene00689	1471	23.97
Gene00690	525	46.06
Gene00691	0	0
Gene00692	545	72.18
Gene00693	3	0.73
Gene00694	0	0
Gene00695	116	14.9
Gene00696	2	0.21
Gene00697	59	13.89
Gene00698	488	69.4
Gene00699	0	0
Gene00700	0	0
Gene00701	40	3.24
Gene00702	272	17.57
Gene00703	0	0
Gene00704	7	12.7
Gene00705	0	0
Gene00706	491	22.7
Gene00707	6	0.64
Gene00708	87	7.54
Gene00709	40	2.4
Gene00710	4236	143.47
Gene00711	100	9.65
Gene00712	136	20.71
Gene00713	638	89.37
Gene00714	22	26.67
Gene00715	0	0
Gene00716	1122	80.91
Gene00717	0	0
Gene00718	0	0
Gene00719	0	0
Gene00720	10	2.23
Gene00721	132	15.31
Gene00722	42	26.26
Gene00723	0	0
Gene00724	52	7.41
Gene00725	95	22.75
Gene00726	6.69	0.85
Gene00727	3.41	1.47
Gene00728	0	0
Gene00729	933	66.59
Gene00730	0	0
Gene00731	263	11.95
Gene00732	109	6.86
Gene00733	16.53	3.75
Gene00734	751	45.03
Gene00735	341	9.98
Gene00736	1	0.13
Gene00737	302	33.96
Gene00738	84	10.32
Gene00739	36	8.85
Gene00740	133	20.82
Gene00741	15	78.6
Gene00742	0	0
Gene00743	0	0
Gene00744	137	14.08
Gene00745	0	0
Gene00746	985	28.6
Gene00747	2840	75.08
Gene00748	1041	1262.09
Gene00749	0	0
Gene00750	61	5.77
Gene00751	140	10.46
Gene00752	57	7.24
Gene00753	46	3.56
Gene00754	226	6.99
Gene00755	160	52.84
Gene00756	153	13
Gene00757	497	17.84
Gene00758	32	2.16
Gene00759	165	67.21
Gene00760	0	0
Gene00761	6.85	9.22
Gene00762	10.15	3.86
Gene00763	6	0.83
Gene00764	0	0
Gene00765	0	0
Gene00766	0	0
Gene00767	0	0
Gene00768	346.33	18.81
Gene00769	4	0.21
Gene00770	0	0
